title,lyrics,link
13/08/17: Oxxxymiron vs. Слава КПСС,"[Раунд 1: Oxxxymiron]
Я здесь чисто по фану, поглумиться над слабым
Ты же вылез из мамы под мой дисс на Бабана

Обличительный пафос — это пшик против папы

Эти рифмы писал мне пьяный Крипл под спайсом

Ты смешной, слишком длинный, откровенно нескладный
У тебя телосложение, как у беременной цапли
Непропорционально, как твой хайп и твой вклад в рэп —
Не облако в штанах. Ты лишь мода, как клауд-рэп
На пару сезонов
. Где твой чокер, а чё

Ты же не хочешь выйти из моды, словно шмотки «Волчок»

Тот, кто ещё, тот, кто ещё год назад тебе дал мощный толчок одним твитом
Станет тем, кто тебя нынче смоет в толчок
Это ирония судьбы — не правда ли, удивительно?
Прежде чем кого-то баттлить, я сначала должен хвалить его
Чтобы вас убедить, что он мог бы стать победителем
Чтоб MC завафлить, вы сперва должны полюбить его
Я сработал на ура
Я знал, что Готэму нужна фигура Джокера
Что против меня. Полная луна взошла
Город за него, в колоде новый персонаж

Но я сам себе режиссёр — я тебя создал и снял
Я — Брюс Уэйн и Кристофер Нолан в одном
Роли готовы давно: твоя прописана от и до

Мне был нужен враг? Вуаля
Ты — опереточный злодей, у тебя отклеился ус
Да, ты — Джокер, но в моем рукаве. Побрей себе туз
И подготовься

Аркхэм предоставляет ночлег

И откуда у тебя эти раны,е знает мой член

Ведь я мастер раскрутки
Ты на кастинг наткнулся и сразу стягиваешь трусики:
— Ты правда продюсер?
— Да, я правда продюсер

Я тебя сделаю, сын — ты в б-анально в рабстве
Зови меня Фадеев Максим
Ведь это жирный пиар

Я выпускаю из клетки тебя за нитки
Каково знать, что ты марионетка в руках еврея?
Ты больше года хайпил на мне
Окей, хайпа не жалко
Жалко, что ты жалкий лакей
Что ты сам не сумел подняться, на дне остался никем
Твои «фаны» злятся, что я не выпускаю микстейп

Твои глаза сказали, что ты баттл писал в декабре
Потому что школа SLOVO —
Самая слабая площадка в стране

Да, мы про SLOVO SPB — вас поимел RBL

Меня могли бы вынести Забэ, Тирэпс и Пиэм
Если бы постарались
Только вы — бездари все
Тридцать недель на текст и фейк, мол, наконец-то засел
Писал декабрь, январь, февраль, март, апрель, май
Июнь, июль. И ты думал, тексток — Tech N9ne, бо!
Я писал неделю плюс-минус два дня
Я тебя боюсь в тридцать раз меньше, чем ты боишься меня

А ты не бойся, ты не бойся
У тебя что, на кону Олимпийский?

Десятки людей на зарплате с петербургской пропиской
Что все зависят от баттла и им хана, если слить его
Хм, но готовиться месяцами для MC унизительно

Всё заучено? Красава!
Человек, измученный Рамзаном

Когда я вызывал его, он типа за идеалы был
Но за год ты стал ссученный, Слава
Что мне может вообще предъявить человек, повторивший мой каждый косяк за всего один год?
Я в игре девять лет — ты мне лишь помогаешь, слизняк
Ты, как и я, изменился? Хотя продажи как были
Ты, как и я, извинился, но тебя даже не били

Ты стал как я коммерсант, но на словах комиссар

Как я был против рэп-стада, но фитовать с ними — за
Мы все отчасти лицемеры, уже хотя бы потому, что меняемся каждый день
Что раньше являлось true, со временем изменится, может, полностью
Но твоя переоценка ценностей шла с небывалой скоростью:
Оп! И ты на сцене
Оп! Фит с ЛСП

Оп! Низкие цены на шмот у Вити СД

Flow пишет рецензии, всё хорошо и real

Но за год кот подземный стал ровно тем, что корил
И твоя идея, как Ляля, кровью истекла

Ты кидаешься камнями, сидя в доме из стекла

Был в подвале, но протёк чердак
Ты в поиске стен мечешься из замка в замок
Но ты их строишь на песке

И показушный детсад в твоих б/ушных текстах
Так очевиден всем, поверь, мне было скучно писать
Рядом с тобою даже Johnyboy был трушный пацан
Откройте с ним кальяно-барбер-суши-смузи-вейп-бар

Антихайп? Это Vagabund, это Vagabund
Для тех, кто грузит в глуши на Windows 3 с модема, не умея cookie включить
«Надо набрать больше членов»
— так вам Букер внушил

Открой, открой концертное эскорт-агентство «Букинг мужчин
»
И это вроде хи-хи, но правда режет глаза
Он будет много говорить, но ему нечего сказать
Ты можешь выкопать грязь и моих мёртвых друзей
Перемывать кости с бельём, варить свой чёрный кисель
Выяснить с кем, сколько раз и в каких позах я спал
Но если ты сделаешь это, то ты тоже просрал
Вот у него есть девушка по имени Саша Дискотека, Саша Дискотека

Сколько прекрасных панчей я мог бы зафигачить про это
Или про жену ST — это так трогательно
Но я пришел сюда, чтоб баттлить не её, а тебя
И не твоих родаков, не мамин банковский счет
Не случайные половые связи. Фаллен не в счёт, вот он, Фаллен не в счёт

А кто берёт слухи про близких, чтобы выиграть вес
Просто показывает, кто на этом ринге отец
Подумай, шкет — тебе светит лишь форс в MDK

Сколько лямов я сделал за год, спорят Forbes, РБК

Ясен красен, про меня сплетен вагон
Я даже бросил groupies — вдруг они проколют перед этим гондон

А после сольют наши фотки журналу «OK» — это тёмная сторона славы

Как и его поездка полгода назад на Пхукет
Опа, у меня тоже есть птички
У меня тоже есть птички
И в отличие от твоих, у них есть микрофоны-петлички
Он думает: «Только бы не история про Golden Resort»
Братан, это не позор, это не позор
Скажем так: очень недолго и в меру невинно
Но у него там был друг под кодовым словом «танцор»
Не совсем массажист, не совсем визажист, не совсем экзотический dancer
Но проблема в другом —
Как две капли воды он похож на типичного транса
[Дайте мне папочку, дайте мне папочку]
А теперь я прошу сюда выйти всех тех
Кто реально в Resort'е увидел Карелина
Ладно, походу сегодня их нет
Но ещё лишь немного, и вы бы поверили
Баттлы по фактам — подарок для любителей врать
Какая правда? Важно лишь убедительно подать

Если будешь копать зашквары, в мусоре копаясь
То представляешь не SLOVO, а «Подслушано: Хабаровск»

Итого у тебя есть две линии атаки:
Либо обвини меня в чём ты, как минимум, хуже — это клиника
Либо как киники собакой будь, и

Выдумав гнили про меня, обосрись тут же
Гнойный, твои слова — воздух один
Ты похож на E.T, но приземлился в Грозном поди

Сюда просто борзо зайти
Но также просто в утиль
У тебя был хороший год — ещё не поздно уйти
Раунд!",https://genius.com/Versus-battle-13-08-17-oxxxymiron-vs-lyrics
07/07/16: Edik_Kingsta vs. Соня Мармеладова,"[Раунд 1 (часть 1): Соня Мармеладова]
В тебе грайма нет, бро, ты — говноед
Твой флоу — рогатка, мой — арбалет
Каждый твой куплет — мимо BPM
Тут не твой формат, будто CD-R

Это вышло из моды, как Sneakerhead
ЛСД, фен — это дикий бэд
Здесь Grime Clash, сука, где мой кэш?

За то, что трахну эту суку зубов промеж!
Соня — Доктор Смерть, жизнь на кон!

Ты думал делаешь дерьмо, когда пердишь в микрофон?
Я будто старый Смоки-Мо, а ты Ассаи под винтом

Своим астральным каратэ ебу твой старенький прием!

Один и тот же флоу. Нет, не лактоза
На твоих губах, как в уретре заноза
Ты в хип-хопе — как сливки в кофе
И жрешь окончания, как сперму Тохаль!

Днище club, пердишь за Grime, но ты днищем слаб
Вещать с колен — твоя ниша, раб
Мой йогурт на лице, Эдик — Рыжий Ап!

На хуй мелкого лоха
Ты потел, как над телкой над текстом. Толку?
Здесь Декстер Морган, будто Вилли Вонка

Здесь убили волка, разбудили вулкан
Меня!
Этот флоу — бомба!
Здесь Mortal Kombat, твой джойстик сломан
А кто здесь в топах и рвет винрейт?
Это Мармеладова Соня Блейд!",https://genius.com/140-bpm-battle-07-07-16-edik-kingsta-vs-lyrics
04/12/16: Rickey F vs. Соня Мармеладова,"[Раунд 1: Соня Мармеладова]
Ларин — чушка ебаная

Антихайп

Гена...

Ты попросил биты помедленней 140 bpm

Теперь трясешься пиздос, но Питер — мой Вифлеем

Ебаный ты бомж, тебе здесь пиздец
Лишь взобравшись на мой хер, ты покоришь Эверест

Накидаю в кабинет
, тут ты не задинамишь пост
Ты ловишь прямой в кадык, когда задираешь нос, Гена!

Да хоть нажрись котяхов

Ты не Гена Фараонов, ты Денис Косяков

Юморист на микро — вывел быдло на ""бу-га-га""

Хочешь выдать нам панчлайн? Уже было на МДК

Ебаный лошок, и вся карьера как пример
Ты настолько несмешной — у тебя пиздил КВН

Искусная шалава, ты с шарами как Надаль

Но плакал, когда порвали шоколадную медаль

Везде пина колада — Генка, спинкой впитай

Алфи снова давит газ, будто твой сфинктер — педаль

Но Фараонова мечта это однажды проснуться Паньшиной

Рикки удивляет дешевой театральщиной
Стыд и конъюктура — с этим так перебрал
Без реквизита и костюма все баттлы ты проебал

Летальная поебка спасет ли теперь уебка
Ректальная подготовка — тут вербальная Голгофа

Ведь баттлиться ради хайпа — просто катастрофа
Ты не стал бы делать рэп, если б не было Перископа, сын",https://genius.com/Versus-battle-04-12-16-rickey-f-vs-lyrics
#SlovoSPB х Антихайп (Ден Чейни / Mickeymouse х Замай / Слава КПСС),"[Раунд 1: Антихайп]

[Куплет: Слава КПСС]
Тут Соня Мармеладова, а вот тебе бы надо бы
Пару ингаляторов, удар дефибриллятора
Чтобы зачитать, как я, звезда амфитеатра

Ведь Соня на битах, как сеанс у педиатра

А дети все кричат: «О, Соня!»
Мышке твой хуй больно в кишках колется
Весь кишлак гомик, я как КиШ
— на троне
Ты летишь, как Коби
. Разряжаю весь патронник
Ра-та-та ты под землёй
, как кобальт

Разрываюсь на битах, словно здесь Чернобыль

Школьница Дэма

Отряд камикадзе
— тут школьница эмо

К-К-КОМБО как Кимбо Слайс
,
Тут MGK, Соня — киборг Сайракс
Ты Майли Сайрус,
я Savage-Savage
Двойная рифма — Double Damage
Я Дамблдор, ты тут долдон
Забываешь свой текст, как купить гандон
Жирный flow, Ким Дотком
Илюха поц норм, но он ебанько
Читает свой рэп с таким ебалом
Словно занят прямо щас тройным аналом
Двойным аналом, у всех изъяны, бро
У твоего грайма лицо Марьяны Ро

Это как так? Ты мудак, тик-так время утекло
Ты не вагван, ты не ванван
Твой Декамерон
— плак-плак на битах
Илюха поц норм, но он ебанько
Ебанько
Ебанько
Ебанько
Ебанько
Ебанько

У твоего грайма лицо Марьяны Ро
Это как так? Ты мудак, тик-так время утекло
Ты не вагван, ты не ванван
Твой Декамерон — плак на битах
Не успел попасть в бит, пиф-паф по пятам
Эй, да у нас тут дырка
Мини Маус
— МС Подстилка
В тебе грайма нет, слушай Меззу
Твой флоу — Рогатка, давалка с Версус

Флоу — шлюшка. Гулял с другими

Флоу — пушка. Слова, как гири
Чейни, помнишь на финале тебя знатно слили?

Ты хотел мне отплатить? Сука, скинь на Qiwi

Просто мусор, просто клининг

После тусы топить под lean'ом
Последний чирик
, свое горе пятаки
Воскрешаю русский grime, будто Соня клирик
Я зомби-критик. Под зомби Риддим

Качусь в темноте мимо зон бикини

Но меня не проведешь, как Иисуса на мякине
Пусть твоё очко не клумба, но мы всё же засадили туда
Семя антихайпа
Я сожру тебя с говном со всеми котяхами

Ты боишься насекомых, ебаный гук

Тебя собьет мой Volkswagen Жук
Какие панчи?
Какие люди, такие панчи
Эти две подружки, сестрички Олсен

И отсосут сестрички awesome
Сестрички awesome
И отсосут сестрички awesome (Ах)
Эпидемия (Я), говнорэперов (Ров!)
Я не буду даже сильно тут батлить вас
Эпидемия (Я), говнорэперов (Ров!)
На десерт у меня твой шоколадный глаз",https://genius.com/Rvat-na-bitah-slovospb-mickeymouse-lyrics
Вейп-вейп-вейп (Vape-Vape-Vape),"[Текст песни «Вейп-вейп-вейп» ft. эхопрокуренныхподъездов, Booker, ЛСП, Заебатсу & Young P&H]

[Интро: Слава КПСС]

(Вейпим, вейпим, суки, вейпим)
(Вейпим, вейпим)

Один мальчик очень много вейпил
(Вейпим)

Как-то приходит он к бабушке
(Вейпим)

Типа: «Бабушка
(Вейпим)

У меня нет денег на вейп
(Вейпим)

Нет денег на жижу
(Вейпим, вейпим)

Поэтому
(Вейпим)

Ну, мне нужна твоя пенсия»
(Вейпим, вейпим, вейпим)

И бабушка
(Вейпим)

Она вот своими слезящимися глазами посмотрела на него и говорит:
(Вейпим, вейпим, вейпим, вейпим, мы снова вейпим)

«Букер, опять ты за своей жижей пришёл
(Вейпим, мы снова вейпим)

Ты у меня вот тогда на прошлой неделе отнял уже пенсию, тебе мало?»
(Вейпим, мы с Замаем вейпим, вейпим)

Тут Букер только встал
(Букер с нами)

Пар ей в лицо выдохнул, и всё
(Вейпим)


[Припев: Слава КПСС]
Я люблю вейп, оверборд и кепку Wins

Мои песни есть в iTunes, моя Мекка — город Квинс

И в Атланте я б завис, но со мною в коммуналке

Только дядя-онанист чешет спину селфи-палкой

(Так что)
Я люблю вейп, оверборд и кепку Wins

Мои песни есть в iTunes, моя Мекка — город Квинс

И в Атланте я б завис, но со мною в коммуналке

Только дядя-онанист чешет спину селфи-палкой

(Так что)",https://genius.com/And-zamay-and-slava-kpss-vape-vape-vape-lyrics
Жертва (Victim) (Oxxxymiron diss),"[Текст песни «Жертва (Oxxxymiron diss)»]

[Интро: Oxxxymiron]
Even if you lose a battle, it doesn't mean shit. I lost a battle this summer: five-nil — according to the judges, you know? Umm… But it only propelled me to— to more success because I accepted loss, I did well, I didn't forget my bars — never did, you know? Umm…


[Куплет: Слава КПСС]
Десять лет спустя, и я снова читаю дисс

Танцы на костях, кто-то идёт на компромисс
Потом скулит,
а я всё жду, когда уже каждый артист
Что снялся в фильме «BEEF» покается публично и в сети (А?)
Хаски и Noize MC, Скриптонит и группа Каста (А?)
Видно, жертвы шантажа, у Ромы море компромата (Е-е)
Все были на плакатах, правда, на хуй меня (На хуй)

Я из андеграунда через телеэкран и в андеграунд
(Yeah, ho)

Всем насрать на баттл-рэп, и Ресторатор — мудак (Пошёл на хуй)
Санёчек, на хуй иди, ты никакой мне не брат
Съебись обратно на Twitch, ебаный бич с Sosed TV
Видно, в армейке получал табуреткой по голове

Оксана в классном пухане снова жертвит, рукоплескание
Ты десять лет сосал, а теперь выдал нам признание
Окей, респект, я вижу лишь подлость и малодушие
Телега вышла душная: «Токсичная дружба
Нахуй Schokk'а, он дебил, Жиган, звони, поговорим»
Новая мужественность, нет, братан, ты снова зажертвил
Снова, чтоб заработать баллы, этот душный стриптиз
Они купились, ведь ты выдал истеричный надрыв

Всё так же плачешься, пока ты там ебал малолеток
Ты нам читал, как вам с женой в однокомнатной клетке тесно

Честно, в ахуе с людей, память, как у цыплят

Это не дисс, а виктимблейминг, всё так же по хуям
Как ты там извинялся? По кому плачет Тесак из ямы? (А?)
Сунул девочке, что лишь на пять лет старше твоей травмы

Главный эмси Руси, воплощение эпохи

Нытики, терпилы, вот же наши герои
Где содержание, братан? Я вижу прежний коленкор

Боже, господа, как же страдал Оксимирон (О-ой)
Сначала Лондон, нищета, потом лещи, предал себя

Во всём виновна, как всегда, лишь агрессивная среда

Но я не сдамся никогда, красна и смерть на миру
Когда умрёшь — порежу вены, чтоб ебать тебя в аду

Десять лет не смевши всуе произнести имя Schokk'а
Теперь очнулся, записал в ШУЕ, прям накануне боя
Чё там, Дима тебя чморил? И ты попал под раздачу

Ведь трогал только стиль, когда посылал на хуй Касту (На хуй Касту)
Schokk тупой, не понимал: трогать родных нельзя!
«Твоя мать пропускает всех, как дверной косяк»
(Yeah, ho)

Делал вид, что это братство, по мне так это блядство
Именно сейчас почему-то во всём признаться (Ой, да)
М-м-м, что же за расчётливый Хоббит?

Schokk победил дракона, и принцесса снова на свободе (Ура)
«Я давно закрыл тему», — во вьюшке Дима говорит
Что он слышит в ответ? Что он законченный псих

«Он ёбнутый в конец, раз хотел написать заяву»
С хуя ли, долбоёб? Ты типа дохуя пацанский? (Чё?)
На митингах тогда ты хули топишь за закон?
Кадр нарисовался, отрицала-Мирон

Боялся десять лет Дудя, но теперь он всех простил
Надеюсь, и меня за то, что охладил мой пыл

Воспел терпильский подвиг, десять лет на коленях

Вдруг стали триумфом воли
, по щучьему велению
Да, мне похуй, я твой каждый, сука, вдох монетизирую

Ты рыпнулся на баттл — я тебя аннигилировал

На Schokk'овой победе ты сделаешь капитал
Базара нет, жид снова всех и вся переиграл (Жид знал)
Но я ебал этот маркетинг, коль услышишь мой куплет
Ты будешь Окси-Моисей, в терапии все сорок лет

Это травма, ты хитрый лицемерный пиздобол (Пошёл на хуй)
Выстроил всё так: что когда-то еблетом в пол, и потом все косяки — это последствия, гондон

Тогда на баттле я сказал про твой стокгольмский синдром (Поу)
А не читал про лещи, манипулятор, как мило

Теперь-то он признался, что был Роминой подстилкой

Теперь он чемпион, умница, молодец
Я тебя выебал на баттле, но это не конец

Кто убил Марка? Районная давалка
Вернулась в свой твиттер, всем стало её жалко

Отъёбанная мамка гниёт в твоём шкафу

В шкуре жертвы ты как дома, так что ты не Vagabund, пу
(Yeah, ho)",https://genius.com/Slava-kpss-victim-oxxxymiron-diss-lyrics
Я мечтаю (I Dream Of) [Oxxxymiron Diss],"[Текст песни «Я мечтаю (Oxxxymiron Diss)»]

[Интро: Слава КПСС, толпа на концерте & Oxxxymiron]
Хм-ха-ха-ха-ха
«Гнойный — пидор! Гнойный — пидор!»
«Гнойный — пидор! Гнойный — пидор! Гнойный — пидор!»
(Гнойный — пидор, Гнойный — пидор, ха-ха-ха)
— …его ведь так и зовут?

— Е, так и зовут, да
Ха, ха-ха-ха-ха

[Куплет 1]
Е, гиены скалятся — на хуй гиен
Один мой панч, и весь твой баттл-рэп на сраку присел

Мне нужен только демон: Люцифер, Сатана, Бафомет

Я люблю лишь твою мамку, алкоголь и баттл-рэп

На хуй всех! (Муа) Я не хочу палить еблом с билборда
Нужен только Cricket, чтоб спалить к чертям Восточный Мордор
Микстейп? Нет-нет, дисс, он бьёт, как монтировкой по лбу

X, Y, Z, Z, вниз — и я пробил рифмовкой комбо

Ренессанс, мескалин, Бэтмен — жид, я Пингвин

С нами ведь СаДист, а значит, мы воскрешаем KingRing

Новый Vagabund
— «Что они дуют?» Ты ловишь бэд-трип
Твоя мама стонет на хуях — выйдет клёвый эдлиб (Ах-ах-ах)
Иду по пищевой цепи, пожирая шакалов
У твоей мамаши ВИЧ и СПИД — пожилая шалава
Я ебу ваш смысл, чтоб подкинуть свинью Моисею

Дай повыебонить на бите или петлю на шею (Е)",https://genius.com/Slava-kpss-i-dream-of-oxxxymiron-diss-lyrics
Частушки (Ditties),"[Текст песни «Частушки»]

[Куплет 1: Слава КПСС, нексюша & CMH]
Казанфарович лизал жопу Моргенштерна
Сладкий анус короля, Карл сдох от диабета

Ты вези меня, такси, на концерт GSPD
Нихуя не понимаю: чё водитель выступает?

Феминистки, лесбиянки, трансик с ними, гомик
Вот такой вот кастинг на второй «Зелёный слоник»

Наш священник из прихода дал нам как-то самогон
Накурил нас шишкой доброй, это просто гиперпоп

Я съел пачку фенибута, застучали вдруг менты
Пока все попали внутрь, а хозяева мертвы

Синяку порвали жопу два баскетболиста
На проход к нему в очко не спрашивают визу
Моргенштерн завёл канал, говорят, что для Кремля
Ты чё, жопу, братик, продал? Он нам: «Бля буду, не я»

Познакомилась я с челом, и хотела ему дать
Лучше даже с импотентом, оказался dead inside

У меня синдром Туретта, с детства мальчик я больной
Меня дёргает пиздец, а я-то просто солевой


[Припев: нексюша]
Опа, опа!
Цензурят меня, падлы
Опа, опа!
За песенки про ванную",https://genius.com/Cmh-slava-kpss-and-neksusha-ditties-lyrics
Духовная нищанка (Spiritual Poverty),"[Текст песни «Духовная нищанка»]

[Интро]
На пятки наступает духовная нищанка
Сыграй со мной в пятнашки, я — весёлая Каштанка
Гоняюсь по двору за собственным хвостом
И так покуда не помру, и, видно, в этом весь прикол


[Припев]
А златокудрый пидорас, ангелок-хранитель
Ты смотри, не отвлекись, мне бы жить да жить бы
Только жимолость созрела, опала, как с куста
Мчит троллейбус бытия, и в нём все заняты места


[Куплет 1]
А всё, что как бы есть, а тут же как бы нету

Из ума да по уму, и мне всё конгруэнтно
«Всё течёт», — говорил бедняге Гераклит

А у меня протекает, у меня душа болит
А мне психолог говорила: «Душа — выдумка на горе»
Эпиктет таскал за бороду мысли Анаксагора

С нами дядька Черномор, постные эти мины

Заебали, и душа не дождется сороковины


[Припев]
Златокудрый пидорас, ангелок-хранитель
На секунду отвлекись, мне бы жить да жить бы
Только что-то поломалось, фундамент мироздания
Собою заслоняет ума вечное сияние",https://genius.com/Slava-kpss-spiritual-poverty-lyrics
Комар-парижанин (Parisian-Mosquito),"[Текст песни «Комар-парижанин» ft. GSPD]

[Интро: Слава КПСС]
Мне нужен шкалик, шакалы (Ха-ха)
Шакалы, где мой шкалик?

Слава КПСС (Е-е-е-е)
E, Underwater
MC Господь
(Ха-ха-ха, ха-ха-ха)
Нашла коса на камень
Тьфу ты, блядь
Аё, еу

[Припев: Слава КПСС]
Я — комар, ты — фумигатор, в рюмках жидкий Терминатор
С виноградничков в Ашане, мы парижане!
Я — комар, ты — фумигатор, в рюмках жидкий Терминатор
С виноградничков в Ашане, мы парижане!


[Куплет 1: Слава КПСС]
Мы будем пить вино, бренчать Виктора Цоя

И вертеть веретено
, в жизни срать на остальное
Я никто, ты никто, догорит весенний пух

Скоро кончится бухло, а ты портянка или друг?

Ты за правых или гук? Хотя это не решает

За окном шумит Сургут, да и мы не парижане
Твоя баба, наряжаясь, порвала себе пизду
А на зоне дяде Коле хуй приставили к виску

Включи-ка, что ли, Scooter, а там утро уже
Менты меня застукали, да потушили свет
Не держи меня за суку, только сука я и есть
На мамкины сорок дней
мы снова курили смесь
И стайками голубей — разлетелись кто куда
Только я люблю людей, а ты любишь ебать вола

Когда выпью — парижанин, я в натуре Жан Жене
Давай вызовем блядей, а то скучаю по жене!",https://genius.com/Slava-kpss-parisian-mosquito-lyrics
